,product_id,title,image_url,price,comment_url,review_count,review_rate
31,9993,小米米家照片打印机特惠套装白色,https://cdn.cnbj1.fds.api.mi-img.com/mi-mall/dcc8c6179b0c75ff10189bf913dba057.jpg,629,https://www.mi.com/comment/9993.html,9716,99.6
32,10726,小米口袋打印即贴相纸20张,https://cdn.cnbj0.fds.api.mi-img.com/b2c-shopapi-pms/pms_1569206174.18327398.jpg,39,https://www.mi.com/comment/10726.html,20171,99.8
33,9932,小米米家照片打印机彩色相纸套装40张,https://cdn.cnbj0.fds.api.mi-img.com/b2c-shopapi-pms/pms_1559124291.51352878.jpg,59,https://www.mi.com/comment/9932.html,111144,99.9
34,9710,MIJOY6寸相框摆台白色,https://cdn.cnbj0.fds.api.mi-img.com/b2c-shopapi-pms/pms_1565334856.05187680.jpg,9.9,https://www.mi.com/comment/9710.html,38469,99.9
35,10780,小米米家喷墨打印机白色,https://cdn.cnbj0.fds.api.mi-img.com/b2c-shopapi-pms/pms_1568186956.80078991.jpg,999,https://www.mi.com/comment/10780.html,11480,98.7
36,10779,喷墨打印机墨水洋红色,https://cdn.cnbj0.fds.api.mi-img.com/b2c-shopapi-pms/pms_1568184680.43035340.jpg,39,https://www.mi.com/comment/10779.html,10015,100.0
37,11588,小米AIoT路由器AX3600黑色,https://cdn.cnbj0.fds.api.mi-img.com/b2c-shopapi-pms/pms_1581411766.33688586.jpg,599,https://www.mi.com/comment/11588.html,7026,97.6
38,11373,Redmi路由器AC2100白色,https://cdn.cnbj0.fds.api.mi-img.com/b2c-shopapi-pms/pms_1575364048.00449310.jpg,169,https://www.mi.com/comment/11373.html,64961,99.0
39,10812,小米路由器AC2100黑色,https://cdn.cnbj0.fds.api.mi-img.com/b2c-shopapi-pms/pms_1568604846.50875239.jpg,229,https://www.mi.com/comment/10812.html,59585,99.3
40,9452,小米路由器Mesh（两只装）白色,https://cdn.cnbj0.fds.api.mi-img.com/b2c-shopapi-pms/pms_1557490451.12382394.jpg,999,https://www.mi.com/comment/9452.html,10298,99.2
