,company_name,position,salary,location,experience,education,time,location_detail,keyword,description,position_link
10,宏元富成招聘,技术主管,15k-30k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-软件园,"部门管理,技术管理","工作职责:
 
参与系统架构开发，通过网络改变人类协作，将网络技术发展到高于电子商务和社会互联网的阶段Chance of participating in developing a system architecture to change how human collaborate through web, move the web capability to the next level beyond e-commerce and social network
应用桌面及手机终端设备上的浏览器技术，学习开发最先进的用户体验产品
Learn how to develop state-of-the-art user experiences using different browsers technologies on desktop and mobile devices
攻克技术难题并完成互联网领域前沿的、极具挑战性的工作
Resolve technical challenges and accomplish tasks that no-one has done before
与资深的国内外技术专家共同讨论解决方案
Discuss solutions and exchange ideas with experienced technical experts
学习IT产业从产品开发到市场营销的整个流程
Learn IT industry all the way from product development to marketing and sales
愿意与海外(美国)市场销售团队一起工作
Chance to gain overseas (USA) work experiences with Sales and Marketing team
 
工作描述：
 
Right Response, LLC. 意在招聘具有创业型精神，同时愿意从公司愿景出发的致力于扩大公司业务的优秀人才。因此我们期望员工对高级网络程序开发感兴趣，同时愿意去开拓新领域的产品和业务，并将原型概念付诸实践。
新入职的员工会参与设计研发先进的协作网络的产品---Collaborative Network，为美国教育行业服务。工作内容包括与美国的项目经理，销售及市场团队协作，了解需求，开发网络应用程序，依据原型和概念开发出创新的产品。
Right Response, LLC. is looking for individual with entrepreneurial spirit to help us to expand the business and take company vision into reality. This unique opportunity will require individual interested in advanced web application development, exploring new frontiers of web potentials and taking concept to actuality.
Qualified individual will be initially assigned to Right Response, LLC.  SchoolStream product line; an advanced collaborative network system designed for US educational industry. Daily job includes web application development, prototyping and concept proving, coordination with US project managers, sales and marketing team.
 
任职要求:
拥有创造社会价值和成就一份事业的激情
Passionate in creating value and making a difference for the society
软件工程，计算机科学等相关专业毕业，本科及以上学历
With a Bachelor or above related degree in Computer Science, Engineering
精通ASP.NET技术，有面向对象开发相关工作经验
Proficient in asp.net, with object oriented programming related working experience
有Windows服务器运维的相关经验，有数据库管理经验
Experience in Windows Sever maintenance and database management
有软件测试及质量管控的管理经验
Management experience in product testing and quality control
IT专业知识有深度和广度，愿意根据公司的需求学习新技术
Broad and deep IT professional knowledge, willing to learn new skills base on company needs
出色的沟通及跨部门合作能力
With strong communication and cross-group collaboration capability
具有强烈的责任感和抗压能力
A strong sense of responsibility and ability to work under pressure
有项目管理或团队管理经验者优先考虑，或有管理者的潜质
Project management or team management experience are preferred，or with management potential
英文良好
Good command of English",https://www.lagou.com/jobs/4436932.html
11,华软科技招聘,架构师,20k-40k,西安,经验10年以上,本科及以上,全职,西安-高新技术产业开发区-科技二路-高新区高新六路38号腾飞创新中心,"技术管理,系统架构","职位描述：
1.负责分布式开发平台的架构规划及部分研发工作；

2.解决产品研发过程的技术难点；

3.负责推进研发效率的提升，包括代码管理、文档管理、研发流程控制、角色协作、持续交付、日志分析、系统状态监控等内容；

3.协助技术研发团队进行分布式开发平台应用的研究及拓展；

4.提升团队的系统分析与架构能力，帮助团队沉淀相应的技术资产。

任职要求：

1、 精通Java/J2EE编程，有8年以上开发经验，3年以上架构师经验；

2、 熟练掌握设计模式，并在实际设计时运用；

3、 精通主流技术栈，如Spring，Mysql，redis，kafka，zookeeper等；

4、 能熟练使用常见分布式框架，如Spring Cloud、dubbo等；

5、 有良好的代码书写、注释和单元测试习惯；

6、 熟悉Linux操作系统，掌握常用的Linux命令，熟练Docker/Kubernetes等容器化系统优先考虑；

7、 主观能动性强，具备良好的沟通合作技巧，强责任心及团队合作精神，具有一定的领导能力。",https://www.lagou.com/jobs/5538692.html
12,网心科技云计算产品部招聘,c++/go云计算研发工程师,15k-30k,西安,经验1-3年,本科及以上,全职,西安-高新技术产业开发区-光华路-西安高新园环普产业园,"云计算,服务器端,C++,GO","【工作职责】：
1、负责研发、维护星域共享云计算服务相关模块；
2、负责云计算前沿技术的研究与应用；
【职位要求】：
1、本科以上学历，具有3年及以上互联网服务端开发工作经验；
2、熟悉c++/golang语言编程，熟悉IO、多线程等，掌握HTTP、TCP/IP等网络相关技术；
3、熟练掌握 Restful API 接口设计标准及规范；
4、熟悉MySql、Redis、kafka 或者 RabbitMQ等开源中间件；
5、具备高可用、高并发分布式系统开发设计经验优先；
6、熟悉PHP、LUA优先；
7、有拜读过 NGINX 源码的优先；
8、自我驱动意识，积极主动，责任心强，有很好的抗压能力及团队精神；",https://www.lagou.com/jobs/5565446.html
13,高灯科技招聘,大区销售经理,25k-45k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-西安,"KA,大客户代表,市场管理,创业","【岗位职责】
1. 参与销售策略制定：根据公司年度战略及市场销售目标，制订制定各阶段销售计划、销售目标并组织实施、完成；
2. 市场信息分析：能够通过各种渠道收集并了解所辖大区内电子发票业务的最新合作政策、新项目机会及竞争对手实际信息，快速响应并制定出符合企业拓展市场的销售政策；
3. 渠道建设：根据产品属性、市场差异化，因地制宜制定渠道拓展计划，建立完善的销售网络以增加产品销售范围；
4. KA客户管理：重点开拓所辖区域内大客户及进行维护，建立友好客情关系，推动业绩完成，行业包括但不限于大型连锁餐饮、酒店、零售等开票需求量大的行业；
5. 团队搭建：负责所辖大区销售团队搭建、能力开发等销售、管理工作；
6. 负责协调大区与总部各部门的合作与协同，确保顺畅沟通，高效执行各项活动。
 
【岗位要求】
1. 统招大学本科及以上学历，专业不限；
2. 具备3-5年的一线销售实操经验，5年以上区域团队管理经验；
3. 具备优秀的团队管理能力，有极强的销售热情和成功欲望，能激发员工的销售积极性，能够带领团队完成销售任务，以结果为导向；
4. 敏锐的市场洞察力和准确的客户分析能力，能够有效开发客户资源；
5. 具备高效的团队合作精神和高度的工作热情。
 
【工作时间】
早上9点半-下午6点，午休1.5小时。",https://www.lagou.com/jobs/5400008.html
14,奥比中光西安研发中心招聘,立体视觉算法工程师-XA,15k-30k,西安,经验3-5年,硕士及以上,全职,西安-高新技术产业开发区-光华路-高新二路创业街区海归楼5F,算法,"工作职责：
1. 负责深度图像生成算法研发；
2. 负责三维光学测量原型系统开发；
任职资格：
1. 硕士及以上学历，计算机、电子信息、摄影测量相关专业
2. 具备良好的学习能力，能够熟练阅读英文文献，并根据文献实现相关算法；
3. 熟练使用C/C++，Python，较强的原型实现能力
4. 在SFM、双目视觉、结构光三维测量、摄影测量任一领域有深入研究。",https://www.lagou.com/jobs/4425750.html
15,贝业思研发部招聘,数据科学家/算法专家,20k-40k,西安,经验1-3年,博士及以上,全职,西安-高新技术产业开发区-沣惠南路-科技二路与沣惠南路十字泰华金贸国际,"算法,数据挖掘","岗位职责：
算法设计：根据产品的需求，确定数据收集方案和最优的数据分析方法。指导数据工程师收集模型所需数据和对数据进行融合，并将最终确定使用的模型产品化。
算法追踪：负责跟踪机器学习和深度学习论文的最新进展，并将最新的方法运用于公司产品。
算法研发：跟公司的其它数据科学家合作，参与相关算法的研发。
 
职位要求：
博士学历，计算机、数学、统计、经济等相关专业；
精通主流的机器学习和深度学习算法，深入理解各算法的基本原理，有算法实际运用的经验；
有很强的代码能力，至少会Python，Scala 或者JAVA一门语言，对大数据技术有一定的了解。
熟悉Hadoop/spark相关组件者优先；
有丰富的自然语言处理技术和算法者优先考虑；
有大型数据挖掘项目经验者优先考虑；
有强烈的学习欲望和主动性，对数据分析有热情;
良好的沟通能力和团队协作精神，有较强的组织和协调能力；",https://www.lagou.com/jobs/4560864.html
16,星垂智能招聘,技术总监,40k-60k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-绿地中心A座,"大数据,技术管理,系统架构,团队建设,架构师","星垂智能 ZENO 是一家总部在西安的科技创业公司，由连续创业者们创立，创始人们曾在美国，阿联酋等地工作和创业。目前 ZENO 处于影藏模式中，已经获得来自阿联酋，加拿大和新加坡的客户。公司位于西安，并在迪拜设有分公司。
公司提供完善的福利制度和行业内 Top 5% 的薪资。我们期望新同事拥有良好的英文沟通能力，对新技术的敏锐性和对新鲜事物的好奇心。
薪资福利
- 保证市场上前 5% 的薪水
- 五险一金以及其他法律规定的员工基础福利
- 每年至少一次的国外旅行或者到其他国家办公室访问机会
- 产假（无论性别）
- 健身房会员
- 其他人性化的福利政策

岗位职责
- 负责整个产品的架构设计和开发
- 追踪前沿技术，探索将新技术应用于实际业务
- 主导技术开发相关策略的制定与执行- 通过设计思维深入了解用户需求
任职要求
- 至少8年软件开发背景，至少2年团队管理经验，带过10+人的研发团队，熟悉开发的各个流程
- 计算机/统计/数据分析/机器学习等相关专业硕士及以上学历，拥有资深行业工作经验- 技术视野广阔，有主导前端技术方案设计的能力和经验
- 极强的好奇心，对技术与设计和商业的结合方面有兴趣
- 良好的英文沟通能力，英文文档写作能力
- 优先考虑有在国际化团队工作经验的候选人",https://www.lagou.com/jobs/5401377.html
17,航语科技华为西安DC部门岗位招聘,云管理平台架构师,30k-60k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-锦业路127号,架构师,"职位描述：
1、负责云服务、云管理平台软件项目的需求分析、软件架构设计、集成架构设计；
2、外包开发团队管理，评估实现需求所需的工作量，对开发项目进行总体管理，符合进度、质量和成本要求； 
3、自研CMP平台的营销和交付资料开发，推动解决方案销售，与客户就需求进行沟通与澄清；
4、关键项目拓展支持和交付。
任职要求：
1、本科以上，计算机科学、软件工程相关专业
2、3年以上云服务、云管理平台相关开发经验，飞致云（Fit2Cloud）、青云、易捷行云、新华三、IBM、VMware工作经历优先
3、至少3个电信、金融、政府行业私有云、混合云开发管理项目经验。（17+岗位要求）
4、英语听说读写熟练优先

专业知识
1、熟悉主流开发框架，具备至少一种云管理平台或云服务平台的软件架构设计经验；
2、熟悉主流虚拟化和公有云平台，包括但不限于VMWare、Hyper-V、KVM、AWS、Azure、阿里云等，了解其软件架构、主要功能、集成方式；
3、熟悉主流ITSM和ITOM平台，包括但不限于BMC、HP、ServiceNow等，了解其主要功能，与云管理平台集成对接的方式。（17+岗位要求）

关键技能
1、能够根据客户业务需求确定云管理平台的功能需求、集成需求，评估开发范围、集成方式、开发工作量，并带领团队开发实现；
2、对云管理平台、云服务平台的技术发展趋势有较深的理解和研究，了解当前和未来的主要技术发展方向（17+岗位要求）

（可base北京）",https://www.lagou.com/jobs/5492757.html
18,数云研发部招聘,大数据仓库架构师（西安）,18k-30k,西安,经验3-5年,大专及以上,全职,西安-高新技术产业开发区-光华路-高新三路人保大厦18楼1807室,"大数据,架构师","岗位描述：
1、 负责/参与核心业务流程的数据分析体系建模、数据仓库架构设计、数据集市的设计；
2、 负责/参与构建基于用户行为的标签系统；
3、 负责/参与建设数据质量体系
4、 负责/参与数据仓库相关的应用系统的设计和开发
5、 负责/参与数据治理，统一数据口径，制定数据标准化规则
6、 负责/参与ETL流程的优化及解决ETL相关技术问题
7、 负责/参与日常数据仓库的监控、分析、性能调优、故障诊断与排除等工作；
 
岗位要求：
1、 本科或以上学历，计算机、数学或相关专业；
2、 熟悉数据仓库各类建模理论，以及数据仓库数据层级关系，具备大型数据仓库逻辑模型和物理模型设计经验，拥有3年以上相关工作经验；
3、 熟练掌握Java、Scala开发语言， 熟悉Python， Shell等脚本语言；
4、 理解Hadoop MR、Hive、HBase、Spark等开源软件的工作原理，具备相关工作经验；
5、 熟悉海量数据的处理，开发、优化并管理过上T级别的大数据作业；
6、 熟悉数据标准管理、元数据管理，有数据治理相关项目的工作，对数据质量管理有深入见解；
7、 有强烈的责任心、良好的沟通协调能力、团队合作精神、能承受工作压力
8、 有从事分布式数据存储与计算平台应用开发经验，熟悉Hadoop生态相关技术并有相关实践经验着优先
9、 熟悉数据仓库领域知识和技能者优先，包括但不局限于：元数据管理、数据开发测试工具与方法、数据质量、主数据管理",https://www.lagou.com/jobs/4546680.html
19,WisdomGarden研发部招聘,Python高级工程师,13k-26k,西安,经验5-10年,学历不限,全职,西安-高新技术产业开发区-锦业一路龙旗科技园,,"职位描述：开发和维护公司的教育软件产品，主要基于B/S架构。我们希望你：有扎实的编程功底，热爱编程有python相关技术栈开发经验，虽然在这里你将绝不会只用一种语言和技术编程热爱且善于学习和钻研各种新技术、新语言英语水平能够支撑自己及时获取和交流最新的技术信息有良好的团队合作精神,有责任感,有较好的沟通能力我们可以提供给你的是：与国内最有经验的敏捷软件开发团队一起工作的机会，你将有机会采用最先进的技术，实践最极限的敏捷软件开发结合领先的教育理念和技术，为改善教育行业做贡献",https://www.lagou.com/jobs/592514.html
