,company_name,position,salary,location,experience,education,time,location_detail,keyword,description,position_link
0,海创中盈研发部招聘,U3d游戏开发工程师,8k-16k,西安,经验1-3年,本科及以上,全职,西安-高新技术产业开发区-新型工业园硕士路38号2楼,"Unity3d,COCOS2D-X,HTML5","
岗位职责：
1、根据游戏策划的需求，完成前端游戏开发。
2、使用Unity3D或egret 或Cocos2d-js完成游戏开发，并发布到IOS、Android、Windows Phone平台。
3、负责优化前端页面和APP客户端的体验，持续改进性能、安全性、稳定性和可扩展性。 
任职资格:
1、计算机应用或相关专业毕业，1-3年的Unity游戏开发经验，熟悉Unity的引擎架构设计；
2、有一定编程基础，熟悉javescript、C#、java编程语言，了解面向对象编程思想；
3、有良好的编码习惯，熟练掌握面向对象思想，编程基础扎实；
4、U3D引擎特性、适配、资源管理和热更新、性能优化有一定了解；
5、熟练掌握app在iOS，Android平台的调试方法。
6、有cocos2d-js开发经验和U3D开发经验者优先考虑。
7、有完整的棋牌类小游戏项目经验者优先，了解egret、cocos等开发工具者优先。
",https://www.lagou.com/jobs/5574232.html
1,医啄科技研发部招聘,GO开发工程师,7k-12k,西安,经验1-3年,本科及以上,全职,西安-高新技术产业开发区-凯创国际2幢1207室,"云计算,医疗健康,后端,GO,Golang","
工作职责:
1. 参与服务模块开发，完成单元测试、文档编写
2. review其他伙伴代码
3. 与架构及golang开发工程师协作完成基础服务设施推进
任职要求
1.1年以上golang开发经验，本科及以上学历
2. 熟练golang 语法 
3.  熟练掌握mysql、redis,mongo,MQ 消息队列等
4. 了解微信公众号流程
",https://www.lagou.com/jobs/5108380.html
2,济南迅捷万通招聘,WebGIS产品经理,6k-12k,西安,经验1-3年,本科及以上,全职,西安-高新技术产业开发区-锦业路与唐延路十字向西,软件开发,"
岗位职责： 1、负责公司WebGIS产品的设计与规划； 2．根据公司战略，制定或参与所负责产品线的策略和规划； 3、敏锐追踪WebGIS领域的发展趋势，适时调整产品策略和发展规划；
4、收集来自外部用户和公司内部的需求分析，设计产品原型； 5、负责进行产品详细特性规划和产品设计，并协助开发团队理解和掌握需求； 6、负责产品方案的制定、 创新与突破，不墨守成规，创造有竞争力的产品； 7、合理管理与布局产品功能，保证用户体验的最优和跨终端体验的一致性； 任职资格: 1、本科以上学历，计算机、地理信息系统相关专业优先； 2、具有2年以上的产品功能设计经验；
3、需要有较强的沟通能力，需要在甲方、分公司业务人员以及研发人员之间搭建沟通桥梁。
4、需要有需求分析能力，能用合理的手段进行需求分析与交付；
6、具有良好的产品感觉和产品设计能力，能够从用户角度来体验和改进产品； 7、学习能力强，沟通协作意识良好，能够承担工作压力； 8、具有良好的产品管理经验与跨团队沟通协调能力，能够在跨部门的环境下灵活控制并推进项目的进展；
基本要求：
具有高度的团队协作精神和严肃认真的科学态度；
具有良好的沟通能力；
具有良好的职业素养、敬业精神和创新精神；
具有很强的学习能力；
具有不断挑战自我、提高自我的强烈意愿。
优先考虑：
计算机相关专业、GIS专业、地质专业；
熟悉石油行业软件者。
工作环境及福利待遇：
1、除基本薪资外，享受各类节假日补贴和年终分红；
2、公司实行无差别管理，公司经理、主管与所有员工完全相同的办公环境待遇；
3、公司为员工提供就餐补助；
4、公司举行不定期技术培训、拓展和与其它公司、部门的交流活动；
",https://www.lagou.com/jobs/4481352.html
3,星垂智能招聘,总经理助理,12k-20k,西安,经验3-5年,本科及以上,全职,西安-高新技术产业开发区-绿地中心A座,"助理,行政","
星垂智能 ZENO 是一家总部在西安的科技创业公司，由连续创业者们创立，创始人们曾在美国，阿联酋等地工作和创业。目前 ZENO 处于影藏模式中，已经获得来自阿联酋，加拿大和新加坡的客户。公司位于西安，并在迪拜设有分公司。
公司提供完善的福利制度和行业内 Top 5% 的薪资。我们期望新同事拥有良好的英文沟通能力，对新技术的敏锐性和对新鲜事物的好奇心。

Job Responsibilities
1. Provide full spectrum of administrative support to general manager, including but not limited to internal and external meetings scheduling, business and private reception and travel arrangements;
2. Responsible for the preparation of conference materials, conference management and preparing meeting minutes and reports;
3. Assist in preparing presentation materials and speeches for public events and media interviews;
4. Assist in arranging monthly expenses, making expense report and dealing with the reimbursement;
5. Closely work and communicate with clients and internal parties to resolve problems;
6. Perform tasks as assigned.

Job Requirements
1. Bachelor's degree or above from a well-recognized university (local & overseas);
2. 3 years of tech industry work experience, familiar with business etiquette,
3. Good command of spoken and written Chinese and English;
4. Well-organized, motivated and detail-minded
5.Basic schedule management, information processing, reimbursement management, document processing, administrative management, meeting/event support capabilities;
6. Proficiency PC knowledge in office software, excellent PowerPoint presentation skills;
7. Honest, fast learner with strong sense of responsibility.
",https://www.lagou.com/jobs/5406232.html
4,锐天信息招聘,高级软件工程师,10k-16k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-旺座现代城-唐延路35号旺座现代城D座1206室,"C++,C,QT,MFC","
岗位职责：
1)        负责集成项目中相关软件的设计实现、调试及文档编写等工作；
2)        能独立完成集成项目中模块代码的设计和实现；
3)        根据代码规范的和项目要求完成代码编写；
4)        对已编制的代码进行调试，保证质量；
5)        修复测试发现的代码缺陷；
6)        编写项目集成过程中的相关文档；
7)        完成上级安排的其他工作。。
 
岗位要求：
1)        参与过大型项目的总体设计或项目的主要模块设计工作，有丰富的软件系统设计经验；
2)        有软件概要设计、软件详细设计经验；
3)        熟练掌握C++/C或NI自动化测试系列软件，持续使用5年以上；
4)        熟练掌握VC++(MFC)、STL、QT、BCG库等中至少一种或熟练掌握Labview；
5)        熟悉OOP、OOA/D和常用的设计模式、设计原则；
6)        熟练使用SVN等工具；
7)        熟悉Linux环境下开发者优先；
8)        了解Python者优先；
9)        了解常用的航电总线协议（如ARINC429、1553B、CAN、AFDX）及网络、串口通信协议者优先；
10)    肯钻研、有较强学习能力；
11)    英文阅读能力强，能够阅读英文技术文章；
",https://www.lagou.com/jobs/5695681.html
5,学大教育创新研发中心招聘,心理学应用研究,7k-12k,西安,经验1-3年,本科及以上,全职,西安-高新技术产业开发区-高新路南洋国际,"教育,用户研究,教育","
我们正在用全新的范式，在教育这个大领域，站在一个更高信、效度水平上，让学习、考试、升学这三件事，变得更明白、更可控。欢迎才华和情怀兼备的你。

【岗位职责】
1、根据中小学生学习和成长过程中存在的问题，研究国内外相关心理及教育领域的学术成果、成熟产品等，为产品开发提供底层理论框架、流程、工具等支持；
2、挖掘和分析学生和家长的习惯、情感等，提炼用户情感、行为、价值观等模型；
3、其他对公司有战略价值的心理学应用性研究。

【任职要求】
1、心理学、教育学、社会学、经济学、管理学等专业，精通心理学主要理论框架及其核心概念； 
2、中英文文献检索、分析、整合报告能力强；
3、能对概念有精准的理解和定义，有结构化的思考能力，擅长细节分析；
4、敏感好奇，自我驱动。
",https://www.lagou.com/jobs/2736077.html
6,西安金印客技术部招聘,PHP高级开发工程师,10k-18k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-科技二路-西安市高新六路普声大厦4楼,"后端,MySQL,PHP,数据库","
岗位职责 
1、参与需求分析并进行ERP订单系统设计，核心代码和文档的编写；
2、负责产品后端服务接口的实现和维护，负责数据库端数据完整性的维护；
3、负责公司商城网站及后台管理系统的新功能开发的开发；
4、保证整体设计满足项目需求，具有良好的维护性和扩展性；
5、根据业务部门反馈的问题进行分析，对疑难问题进行攻关，并与团队其他同事保持紧密合作； 
任职要求 
1. 本科及以上学历，精通PHP语言,至少3年以上PHP实际项目代码编写经验，熟悉MVC开发，熟悉面向对象开发；
2. 熟练掌握主流PHP开发框架，了解框架实现原理；
3. 有丰富的Mysql数据库建模、数据库优化经验；
4. 有一定的Memcache、Redis、Mongodb等no-sql相关开发经验；
5. 熟悉HTTP协议及W3C相关互联网规范；
6. 熟悉服务器端环境（Linux/Mysql/Nginx等）的配置与维护；
7. 了解前端开发语言（Javascript/CSS/HTML等），能够单独开发前端功能模块；
8. 良好的代码习惯，了解PSR规范，了解REST规范；
9. 有创新思想和强大的执行力，不将就追求极致，目光长远；
10. 有电商平台开发经验者优先。 
",https://www.lagou.com/jobs/4657864.html
7,知行软件招聘,软件工程师,10k-20k,西安,经验不限,学历不限,全职,西安-高新技术产业开发区-沣惠南路-泰华金茂6号楼2303,"大数据,工具软件","
[知行软件背景介绍]
- 纯技术，纯软件，纯产品，2008年由几位程序员携手创建
- 与美国nsoftware(nsoftware.com)软件公司，及其控股公司cdata(cdata.com)和rssbus(rssbus.com)共同研发全系列产品，拥有互联网通信的全栈实现
- 在中国帮助苹果，亚马逊，宝马，沃尔沃等企业整合供应链，实施EDI电子数据交换解决方案(http://www.kasoftware.com/our_clients.html)

[我们正在做什么]
- 实现所有的网络通信协议(HTTP,FTP,SNMP,SMTP,POP,TLS,SSH,OpenPGP,S/MIME,WebSockets等等还有很多)在所有的通用编程平台上(C#,Java,C++,iOS,Android,NodeJS,PHP等等还有很多)
- 为各种各样的传统数据库，大数据库，云数据库写数据驱动(Salesforce,DynamicsCRM,SharePoint,Google Big Query,MongoDb,MySQL等等还有很多)，支持各种编程平台(ODBC,JDBC,ADO)
- 为我厂自产的电子数据交换平台支持各种数据交换协议(http://www.kasoftware.com/mft.html)，并帮助客户实施

[工作地点在哪里]
西安市雁塔区沣惠南路16号泰华金茂6号楼2303

[我们能提供什么]
- 软件工程师10K-20K，年均15薪
- 五险一金
- 965周末双休，不加班！不加班！不加班！(重要的事情说三遍)
- 月月团建 (聚餐,爬山,温泉,烤肉,跑步 ...)
- 零食筐永远是满的 J
- 午餐补助
- 不定期派往美国公司在北卡
- 不定期派发iPhone
- 标配大屏幕双屏，并提供笔记本补贴
- 一个月超长婚假

[我们正在找什么样的伙伴加入]
- 对于给定的产品需求可以设计方案并编码实现
- 用英语通过邮件和美国的团队保持实时沟通
- 工作中可以自我驱动，遇到的问题可以主动提出
- 对软件开发工作充满热情，有好奇心，喜欢挑战复杂的问题
- 喜欢阅读开源库的代码而且经常琢磨一些流行软件的设计原理
- 掌握至少一门高级编程语言
- 可以通过一个实际的软件项目(代码)证明自己，这一项很重要
- 不接受远程、不接受实习
- 985/211高校毕业生优先

[这究竟是一份什么样的工作]
FOR REAL CODERS, AND NO BULLSHIT

[最后，最最重要的]
HAVE FUN!
",https://www.lagou.com/jobs/270632.html
8,优信集团招聘,高级产品经理-西安-18826,12k-15k,西安,经验3-5年,大专及以上,全职,西安-高新技术产业开发区-二路车库咖啡311,"汽车,移动互联网","
岗位职责1、负责优信拍拍卖相关系统的产品功能设计及产品的全过程管理；2、帮助业务梳理产品流程，制定合理的解决方案3、根据公司业务发展要求，不断优化产品，与其他相关部门沟通协作。4、能够撰写高质量的需求文档，并协调推动设计、开发、测试、或其他产品线人员进行高效合作，确保产品的研发进度。5、对日常数据进行跟踪和研究，定期分析产品上线效果，掌握平台运行状况被提出优化建议。
任职要求1、本科及以上学历，计算机等相关专业优先2、2-3年以上产品设计经验（PC端和移动端），至少完成过一款产品项目，重视用户体验及项目管理。3、熟练掌握Axure、Mindmanager、Visio、Excel、PPT等基础办公工具，熟悉产品规划、产品流程图及产品需求文档的撰写4、快速的业务理解及学习能力，逻辑思维能力强，责任心及自我驱动力强，并有良好的沟通和团队合作能力，能独立工作5、能适应一定频度的中短期出差
",https://www.lagou.com/jobs/5406128.html
9,维纳股份技术开发部招聘,高级nodeJs工程师,12k-18k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-锦业路69号瞪羚谷E座203室,"Java,PHP,Python","
岗位职责：
1、参与公司新产品开发；
2、能根据业务需求完成设计、开发、文档编写；
3、对现有产品的易用性改进和性能优化；
4、保证代码的高可靠性和高性能。
 
任职要求：
1、计算机及电子信息工程相关专业本科及以上学历；
2、热爱开发，乐于接受挑战，1年以上服务端开发经验；
3、熟练掌握Java、php、nodejs、python 等任意一种开发语言；
4、熟悉JavaScript、有HTML5开发经验，使用过任何一种前端框架；
5、熟悉MySql,sqlServer等常用数据库，会sql语句性能优化；
6、熟练掌握数据结构和算法，良好的数学、物理、计算机及操作系统知识；
7、优秀的优化、调试能力和分析、解决问题能力，逻辑思维清晰严谨；
8、有良好的团队精神、敬业精神和沟通协调能力，善于学习，能主动学习钻研与工作相关的知识和技术且有一定的抗压能力。
",https://www.lagou.com/jobs/3545011.html
